region,DATA_TYPE,indicator,year,value,pred
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2002,147.2,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2003,150.1,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2004,152.4,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2005,155.9,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2006,158.8,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2007,161.1,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2008,161.6,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2009,162.4,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2010,163.3,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2011,163.7,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2012,166.7,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2013,169.0,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2014,172.8,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2015,176.6,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2016,180.4,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2017,184.2,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2018,187.8,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2019,192.5,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2020,198.5,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2021,202.5,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2022,207.3,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2023,212.8,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2024,220.2,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2024,220.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2025,228.1,0
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2025,229.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2026,239.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2027,249.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2028,260.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2029,270.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2030,281.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2031,293.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2032,304.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2033,315.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2034,324.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2035,332.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2036,339.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2037,346.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2038,351.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2039,355.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2040,358.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2041,360.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2042,361.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2043,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2044,363.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2045,363.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2046,363.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2047,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2048,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2049,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2050,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2051,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2052,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2053,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2054,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2055,363.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2056,364.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2057,364.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2058,365.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2059,366.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2060,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2061,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2062,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2063,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2064,368.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2065,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2066,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2067,367.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2068,366.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2069,365.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2070,364.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2071,363.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2072,362.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2073,360.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2074,359.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2075,357.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2076,356.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2077,355.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2078,353.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2079,351.0,1
Abruzzo,AGEINDEX,Ageing index (percentage values) - on 1st January,2080,350.0,1
Abruzzo,BED_DENSITY,Bed Density,2002,3.194958952239658,1
Abruzzo,BED_DENSITY,Bed Density,2003,3.2013438377920664,1
Abruzzo,BED_DENSITY,Bed Density,2004,3.202620814902549,1
Abruzzo,BED_DENSITY,Bed Density,2005,3.2077287233444753,1
Abruzzo,BED_DENSITY,Bed Density,2006,3.214113608896884,1
Abruzzo,BED_DENSITY,Bed Density,2007,3.2166675631178476,1
Abruzzo,BED_DENSITY,Bed Density,2008,3.212836631786402,1
Abruzzo,BED_DENSITY,Bed Density,2009,3.212836631786402,1
Abruzzo,BED_DENSITY,Bed Density,2010,3.212836631786402,1
Abruzzo,BED_DENSITY,Bed Density,2011,3.212836631786402,1
Abruzzo,BED_DENSITY,Bed Density,2012,3.2204984944492927,1
Abruzzo,BED_DENSITY,Bed Density,2013,3.2268833800017016,1
Abruzzo,BED_DENSITY,Bed Density,2014,3.2358222197750734,1
Abruzzo,BED_DENSITY,Bed Density,2015,3.246038036658927,1
Abruzzo,BED_DENSITY,Bed Density,2016,3.253699899321818,1
Abruzzo,BED_DENSITY,Bed Density,2017,3.261361761984708,1
Abruzzo,BED_DENSITY,Bed Density,2018,3.267746647537117,1
Abruzzo,BED_DENSITY,Bed Density,2019,3.2741315330895255,1
Abruzzo,BED_DENSITY,Bed Density,2020,3.285624327083861,1
Abruzzo,BED_DENSITY,Bed Density,2021,3.297117121078197,1
Abruzzo,BED_DENSITY,Bed Density,2022,3.303502006630606,1
Abruzzo,BED_DENSITY,Bed Density,2023,3.3098868921830147,1
Abruzzo,BED_DENSITY,Bed Density,2024,3.3194642205116276,1
Abruzzo,BED_DENSITY,Bed Density,2025,3.330318525950722,1
Abruzzo,BED_DENSITY,Bed Density,2026,3.345642251276503,1
Abruzzo,BED_DENSITY,Bed Density,2027,3.3584120223813203,1
Abruzzo,BED_DENSITY,Bed Density,2028,3.371181793486138,1
Abruzzo,BED_DENSITY,Bed Density,2029,3.3839515645909555,1
Abruzzo,BED_DENSITY,Bed Density,2030,3.396721335695773,1
Abruzzo,BED_DENSITY,Bed Density,2031,3.4222608779054076,1
Abruzzo,BED_DENSITY,Bed Density,2032,3.435030649010225,1
Abruzzo,BED_DENSITY,Bed Density,2033,3.4478004201150423,1
Abruzzo,BED_DENSITY,Bed Density,2034,3.473339962324677,1
Abruzzo,BED_DENSITY,Bed Density,2035,3.4861097334294944,1
Abruzzo,BED_DENSITY,Bed Density,2036,3.511649275639129,1
Abruzzo,BED_DENSITY,Bed Density,2037,3.5244190467439465,1
Abruzzo,BED_DENSITY,Bed Density,2038,3.549958588953581,1
Abruzzo,BED_DENSITY,Bed Density,2039,3.562728360058399,1
Abruzzo,BED_DENSITY,Bed Density,2040,3.5882679022680337,1
Abruzzo,BED_DENSITY,Bed Density,2041,3.601037673372851,1
Abruzzo,BED_DENSITY,Bed Density,2042,3.613807444477669,1
Abruzzo,BED_DENSITY,Bed Density,2043,3.626577215582486,1
Abruzzo,BED_DENSITY,Bed Density,2044,3.639346986687303,1
Abruzzo,BED_DENSITY,Bed Density,2045,3.652116757792121,1
Abruzzo,BED_DENSITY,Bed Density,2046,3.664886528896938,1
Abruzzo,BED_DENSITY,Bed Density,2047,3.6776563000017553,1
Abruzzo,BED_DENSITY,Bed Density,2048,3.6776563000017553,1
Abruzzo,BED_DENSITY,Bed Density,2049,3.6904260711065726,1
Abruzzo,BED_DENSITY,Bed Density,2050,3.6904260711065726,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2002,8.4,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2003,8.6,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2004,8.7,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2005,8.7,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2006,8.6,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2007,8.8,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2008,8.9,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2009,8.6,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2010,8.8,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2011,8.5,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2012,8.4,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2013,8.1,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2014,7.9,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2015,7.7,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2016,7.7,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2017,7.3,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2018,6.9,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2019,6.6,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2020,6.4,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2021,6.5,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2022,6.3,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2023,6.0,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2024,5.8,0
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2024,5.8,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2025,5.8,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2026,5.8,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2027,5.8,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2028,5.8,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2029,5.9,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2030,5.9,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2031,5.9,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2032,5.9,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2033,6.0,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2034,6.1,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2035,6.1,1
Abruzzo,BIRTHRATE,Birth rate (per thousand inhabitant),2036,6.2,1
